city_key,market_ticker,event_date,decision_ts,decision_price,resolved_yes,model_prob_yes,model_prob_no,fair_yes,fair_no,yes_bid,yes_ask,no_bid,no_ask,chosen_side,entry_price,entry_price_source,pricing_mode,quote_source,uses_true_quotes,quote_spread,exec_edge_yes,exec_edge_no,edge_at_entry,gross_edge_at_entry,contracts,fees,gross_pnl,net_pnl,lookback_sample_size,model_name,fold_number,market_subtitle,strike_type,floor_strike,cap_strike,contract_type,entry_price_bucket,won
nyc,KXHIGHNY-25DEC26-T34,2025-12-26,2025-12-26 15:00:00+00:00,3.0,False,0.83871,0.16129,0.83871,0.16129,1.0,2.0,98.0,99.0,yes,2.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.80871,,0.80871,0.81871,1,0.01,-0.02,-0.03,31,baseline_climatology_v1,1,35° or above,greater,34.0,,or_above,0-25,False
chicago,KXHIGHCHI-25DEC27-T45,2025-12-27,2025-12-27 16:00:00+00:00,6.0,True,0.580645,0.419355,0.580645,0.419355,6.0,7.0,93.0,94.0,yes,7.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.500645,,0.500645,0.510645,1,0.01,0.93,0.92,31,baseline_climatology_v1,1,44° or below,less,,45.0,or_below,0-25,True
chicago,KXHIGHCHI-25DEC27-T52,2025-12-27,2025-12-27 16:00:00+00:00,1.0,False,0.193548,0.806452,0.193548,0.806452,0.0,2.0,98.0,100.0,yes,2.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,2.0,0.163548,,0.163548,0.173548,1,0.01,-0.02,-0.03,31,baseline_climatology_v1,1,53° or above,greater,52.0,,or_above,0-25,False
nyc,KXHIGHNY-25DEC27-T29,2025-12-27,2025-12-27 15:00:00+00:00,1.0,False,0.129032,0.870968,0.129032,0.870968,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.109032,,0.109032,0.119032,1,0.01,-0.01,-0.02,31,baseline_climatology_v1,1,28° or below,less,,29.0,or_below,0-25,False
nyc,KXHIGHNY-25DEC27-T36,2025-12-27,2025-12-27 15:00:00+00:00,0.5,False,0.741935,0.258065,0.741935,0.258065,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.721935,,0.721935,0.731935,1,0.01,-0.01,-0.02,31,baseline_climatology_v1,1,37° or above,greater,36.0,,or_above,0-25,False
nyc,KXHIGHNY-25DEC28-T44,2025-12-28,2025-12-28 15:00:00+00:00,1.0,False,0.709677,0.290323,0.709677,0.290323,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.689677,,0.689677,0.699677,1,0.01,-0.01,-0.02,31,baseline_climatology_v1,1,45° or above,greater,44.0,,or_above,0-25,False
chicago,KXHIGHCHI-25DEC29-T31,2025-12-29,2025-12-29 16:00:00+00:00,0.5,False,0.903226,0.096774,0.903226,0.096774,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.883226,,0.883226,0.893226,1,0.01,-0.01,-0.02,31,baseline_climatology_v1,1,32° or above,greater,31.0,,or_above,0-25,False
nyc,KXHIGHNY-25DEC29-T53,2025-12-29,2025-12-29 15:00:00+00:00,6.0,False,0.258065,0.741935,0.258065,0.741935,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.238065,,0.238065,0.248065,1,0.01,-0.01,-0.02,31,baseline_climatology_v1,1,54° or above,greater,53.0,,or_above,0-25,False
chicago,KXHIGHCHI-25DEC30-T33,2025-12-30,2025-12-30 16:00:00+00:00,0.5,False,0.709677,0.290323,0.709677,0.290323,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.689677,,0.689677,0.699677,1,0.01,-0.01,-0.02,31,baseline_climatology_v1,1,34° or above,greater,33.0,,or_above,0-25,False
nyc,KXHIGHNY-25DEC30-T30,2025-12-30,2025-12-30 15:00:00+00:00,1.0,False,0.096774,0.903226,0.096774,0.903226,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.076774,,0.076774,0.086774,1,0.01,-0.01,-0.02,31,baseline_climatology_v1,1,29° or below,less,,30.0,or_below,0-25,False
nyc,KXHIGHNY-25DEC30-T37,2025-12-30,2025-12-30 15:00:00+00:00,1.0,False,0.903226,0.096774,0.903226,0.096774,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.883226,,0.883226,0.893226,1,0.01,-0.01,-0.02,31,baseline_climatology_v1,1,38° or above,greater,37.0,,or_above,0-25,False
chicago,KXHIGHCHI-25DEC31-T30,2025-12-31,2025-12-31 16:00:00+00:00,1.0,False,0.15625,0.84375,0.15625,0.84375,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.13625,,0.13625,0.14625,1,0.01,-0.01,-0.02,32,baseline_climatology_v1,2,29° or below,less,,30.0,or_below,0-25,False
chicago,KXHIGHCHI-25DEC31-T37,2025-12-31,2025-12-31 16:00:00+00:00,19.0,False,0.53125,0.46875,0.53125,0.46875,17.0,19.0,81.0,83.0,yes,19.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,2.0,0.32125,,0.32125,0.34125,1,0.02,-0.19,-0.21,32,baseline_climatology_v1,2,38° or above,greater,37.0,,or_above,0-25,False
nyc,KXHIGHNY-25DEC31-T31,2025-12-31,2025-12-31 15:00:00+00:00,3.0,False,0.09375,0.90625,0.09375,0.90625,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.07375,,0.07375,0.08375,1,0.01,-0.01,-0.02,32,baseline_climatology_v1,2,30° or below,less,,31.0,or_below,0-25,False
nyc,KXHIGHNY-25DEC31-T38,2025-12-31,2025-12-31 15:00:00+00:00,0.5,False,0.875,0.125,0.875,0.125,0.0,1.0,99.0,100.0,yes,1.0,yes_ask,candle_proxy,decision_candle_ohlc_bounds,False,1.0,0.855,,0.855,0.865,1,0.01,-0.01,-0.02,32,baseline_climatology_v1,2,39° or above,greater,38.0,,or_above,0-25,False
