decision_time_local,scenario_code,city_scope,fold_number,trades_taken,total_net_pnl,win_rate,average_entry_price,average_spread,average_edge,positive_fold
13:00,A,nyc,2,13,0.87,0.076923,1.0,1.0,0.474793,True
13:00,A,nyc,3,6,-0.09,0.0,1.5,1.0,0.377157,False
13:00,A,chicago,1,11,1.84,0.181818,1.454545,1.0,0.481056,True
13:00,A,chicago,2,13,-0.29,0.0,2.230769,1.0,0.611883,False
13:00,A,chicago,3,6,-0.21,0.0,3.5,1.166667,0.210098,False
13:00,B,pooled,1,23,2.22,0.130435,2.347826,1.0,0.391052,True
13:00,B,pooled,2,26,0.32,0.038462,1.615385,1.0,0.533338,True
13:00,B,pooled,3,12,-0.42,0.0,2.5,1.083333,0.283627,False
13:00,B,nyc,1,12,0.49,0.083333,3.166667,1.0,0.317715,True
13:00,B,nyc,2,13,0.74,0.076923,1.0,1.0,0.464793,True
13:00,B,nyc,3,6,-0.15,0.0,1.5,1.0,0.367157,False
13:00,B,chicago,1,11,1.73,0.181818,1.454545,1.0,0.471056,True
13:00,B,chicago,2,13,-0.42,0.0,2.230769,1.0,0.601883,False
13:00,B,chicago,3,6,-0.27,0.0,3.5,1.166667,0.200098,False
13:00,C,pooled,1,23,2.22,0.130435,2.347826,1.0,0.391052,True
13:00,C,pooled,2,26,0.32,0.038462,1.615385,1.0,0.533338,True
13:00,C,pooled,3,12,-0.42,0.0,2.5,1.083333,0.283627,False
13:00,C,nyc,1,12,0.49,0.083333,3.166667,1.0,0.317715,True
13:00,C,nyc,2,13,0.74,0.076923,1.0,1.0,0.464793,True
13:00,C,nyc,3,6,-0.15,0.0,1.5,1.0,0.367157,False
13:00,C,chicago,1,11,1.73,0.181818,1.454545,1.0,0.471056,True
13:00,C,chicago,2,13,-0.42,0.0,2.230769,1.0,0.601883,False
13:00,C,chicago,3,6,-0.27,0.0,3.5,1.166667,0.200098,False
13:00,D,pooled,1,23,2.22,0.130435,2.347826,1.0,0.391052,True
13:00,D,pooled,2,26,0.32,0.038462,1.615385,1.0,0.533338,True
13:00,D,pooled,3,12,-0.42,0.0,2.5,1.083333,0.283627,False
13:00,D,nyc,1,12,0.49,0.083333,3.166667,1.0,0.317715,True
13:00,D,nyc,2,13,0.74,0.076923,1.0,1.0,0.464793,True
13:00,D,nyc,3,6,-0.15,0.0,1.5,1.0,0.367157,False
13:00,D,chicago,1,11,1.73,0.181818,1.454545,1.0,0.471056,True
13:00,D,chicago,2,13,-0.42,0.0,2.230769,1.0,0.601883,False
13:00,D,chicago,3,6,-0.27,0.0,3.5,1.166667,0.200098,False
14:00,A,pooled,1,23,2.51,0.130435,2.130435,1.043478,0.403661,True
14:00,A,pooled,2,27,0.73,0.037037,1.0,1.0,0.533127,True
14:00,A,pooled,3,12,-0.24,0.0,2.0,1.166667,0.298627,False
14:00,A,nyc,1,12,0.73,0.083333,2.25,1.083333,0.337715,True
14:00,A,nyc,2,13,0.87,0.076923,1.0,1.0,0.474793,True
14:00,A,nyc,3,6,-0.14,0.0,2.333333,1.333333,0.368823,False
14:00,A,chicago,1,11,1.78,0.181818,2.0,1.0,0.475601,True
14:00,A,chicago,2,14,-0.14,0.0,1.0,1.0,0.587295,False
14:00,A,chicago,3,6,-0.1,0.0,1.666667,1.0,0.228431,False
14:00,B,pooled,1,23,2.28,0.130435,2.130435,1.043478,0.393661,True
14:00,B,pooled,2,27,0.46,0.037037,1.0,1.0,0.523127,True
14:00,B,pooled,3,12,-0.36,0.0,2.0,1.166667,0.288627,False
14:00,B,nyc,1,12,0.61,0.083333,2.25,1.083333,0.327715,True
14:00,B,nyc,2,13,0.74,0.076923,1.0,1.0,0.464793,True
14:00,B,nyc,3,6,-0.2,0.0,2.333333,1.333333,0.358824,False
14:00,B,chicago,1,11,1.67,0.181818,2.0,1.0,0.465601,True
14:00,B,chicago,2,14,-0.28,0.0,1.0,1.0,0.577295,False
14:00,B,chicago,3,6,-0.16,0.0,1.666667,1.0,0.218431,False
14:00,C,pooled,1,23,2.28,0.130435,2.130435,1.043478,0.393661,True
14:00,C,pooled,2,27,0.46,0.037037,1.0,1.0,0.523127,True
14:00,C,pooled,3,12,-0.36,0.0,2.0,1.166667,0.288627,False
14:00,C,nyc,1,12,0.61,0.083333,2.25,1.083333,0.327715,True
14:00,C,nyc,2,13,0.74,0.076923,1.0,1.0,0.464793,True
14:00,C,nyc,3,6,-0.2,0.0,2.333333,1.333333,0.358824,False
14:00,C,chicago,1,11,1.67,0.181818,2.0,1.0,0.465601,True
14:00,C,chicago,2,14,-0.28,0.0,1.0,1.0,0.577295,False
14:00,C,chicago,3,6,-0.16,0.0,1.666667,1.0,0.218431,False
14:00,D,pooled,1,23,2.28,0.130435,2.130435,1.043478,0.393661,True
14:00,D,pooled,2,27,0.46,0.037037,1.0,1.0,0.523127,True
14:00,D,pooled,3,11,-0.26,0.0,1.363636,1.0,0.291872,False
14:00,D,nyc,1,12,0.61,0.083333,2.25,1.083333,0.327715,True
14:00,D,nyc,2,13,0.74,0.076923,1.0,1.0,0.464793,True
14:00,D,nyc,3,5,-0.1,0.0,1.0,1.0,0.38,False
14:00,D,chicago,1,11,1.67,0.181818,2.0,1.0,0.465601,True
14:00,D,chicago,2,14,-0.28,0.0,1.0,1.0,0.577295,False
14:00,D,chicago,3,6,-0.16,0.0,1.666667,1.0,0.218431,False
